tract_geoid_alt,neighborhood_id,neighborhood_name,tract_id,tract_name,tract_geoid
42101980400,00,Airport-Navy Yard,01,Airport-Navy Yard 01,0001
42101005000,00,Airport-Navy Yard,02,Airport-Navy Yard 02,0002
42101980700,00,Airport-Navy Yard,03,Airport-Navy Yard 03,0003
42101980600,00,Airport-Navy Yard,04,Airport-Navy Yard 04,0004
42101980900,00,Airport-Navy Yard,05,Airport-Navy Yard 05,0005
42101035500,01,Bustleton,01,Bustleton 01,0101
42101034502,01,Bustleton,02,Bustleton 02,0102
42101035602,01,Bustleton,03,Bustleton 03,0103
42101035601,01,Bustleton,04,Bustleton 04,0104
42101034501,01,Bustleton,05,Bustleton 05,0105
42101034400,01,Bustleton,06,Bustleton 06,0106
42101001102,02,Center City East,01,Center City East 01,0201
42101000100,02,Center City East,02,Center City East 02,0202
42101000500,02,Center City East,03,Center City East 03,0203
42101001101,02,Center City East,04,Center City East 04,0204
42101001002,02,Center City East,05,Center City East 05,0205
42101000902,02,Center City East,06,Center City East 06,0206
42101000600,02,Center City East,07,Center City East 07,0207
42101001001,02,Center City East,08,Center City East 08,0208
42101036600,02,Center City East,09,Center City East 09,0209
42101000901,02,Center City East,10,Center City East 10,0210
42101000200,02,Center City East,11,Center City East 11,0211
42101001202,03,Center City West,01,Center City West 01,0301
42101000801,03,Center City West,02,Center City West 02,0302
42101000804,03,Center City West,03,Center City West 03,0303
42101000803,03,Center City West,04,Center City West 04,0304
42101000700,03,Center City West,05,Center City West 05,0305
42101000401,03,Center City West,06,Center City West 06,0306
42101001201,03,Center City West,07,Center City West 07,0307
42101000300,03,Center City West,08,Center City West 08,0308
42101000402,03,Center City West,09,Center City West 09,0309
42101038600,04,Chestnut Hill-West Mt. Airy,01,Chestnut Hill-West Mt. Airy 01,0401
42101023600,04,Chestnut Hill-West Mt. Airy,02,Chestnut Hill-West Mt. Airy 02,0402
42101023100,04,Chestnut Hill-West Mt. Airy,03,Chestnut Hill-West Mt. Airy 03,0403
